customer_id,account_id,account_status,checks_returned_last_year,checks_returned_this_year,account_closed_reason,current_rate,date_last_deposit,date_open,date_overdrawn_closed,date_reopened,days_nsf_since_open,branch_id,officer_id,igl,interest_paid_this_statement,nsf_items_paid_last_statement,nsf_items_paid_current_std,nsf_items_retuned_last_statement,nsf_items_returned_current_statement,number_days_od_current_statement,overdraft_days_last_statement,overdraft_days_since_open,account_type,accured_interest,average_bal_6_statements_ago,average_bal_12_statements_ago,average_bal_last_statement,current_balance,daily_interest,interest_paid_last_statement,interest_paid_last_year,interest_paid_this_year,minimum_balance_last_statement,minimum_balance_this_statement,nsf_charges_1_statement_ago,nsf_charges_2_statement_ago,nsf_charges_3_statement_ago,nsf_charges_waived_1_statement_ago,nsf_charges_waived_2_statement_ago,nsf_charges_waived_3_statement_ago,nsf_fees_refunded_last_year,nsf_fees_refunded_month_to_date,nsf_fees_refunded_statement_to_date,nsf_fees_refunded_year_to_date,other_fees_1_statement_ago,other_fees_2_statement_ago,other_fees_3_statement_ago,other_fees_refunded_mtd,other_fees_refunded_statement_too_date,other_fees_refunded_year_to_date,other_fees_returned_last_year,other_fees_waived_1_statement_ago,other_fees_waived_2_statement_ago,other_fees_waived_3_statement_ago,sc_fees_refunded_last_year,sc_fees_refunded_month_to_date,sc_fees_refunded_statement_to_date,sc_fees_refunded_year_to_date,city,state,zip
cif_cust_id_13672,dda_acct_id_07770, ,0,0,,0,4/23/2026,12/23/2019,,,2,branch_id_02,officer_id_002,1,0,0,0,0,0,0,0,5,Personal,0,450,825,1232,2218.62,0,0,0,0,639,1113.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PORTLAND                                ,OR,972290939
cif_cust_id_13675,dda_acct_id_07771, ,0,0,,0,4/20/2026,5/20/2011,,,1,branch_id_13,officer_id_036,2,0,0,0,0,0,0,0,1,Commercial,0,4974,4099,4124,3118.68,0,0,0,0,2202,2542.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEBANON                                 ,OR,973553218
cif_cust_id_13675,dda_acct_id_07772, ,0,0,,0,4/23/2026,5/20/2011,,,0,branch_id_13,officer_id_036,2,0,0,0,0,0,0,0,0,Commercial,0,21149,27774,40775,30817.94,0,0,0,0,29341,16240.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEBANON                                 ,OR,973553218
cif_cust_id_13675,dda_acct_id_07773, ,0,0,,0.5,4/23/2026,5/20/2011,,,0,branch_id_13,officer_id_036,8,0,0,0,0,0,0,0,0,Commercial,19.44,84522,58561,59346,62430.21,0.86,25.95,320.25,69.58,56472,60930.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEBANON                                 ,OR,973553218
cif_cust_id_13675,dda_acct_id_07774, ,0,0,,0.05,4/17/2026,5/25/2011,,,0,branch_id_13,officer_id_036,2,0,0,0,0,0,0,0,0,Commercial,0.14,17298,9865,5858,30.07,0,0.73,5.75,0.73,29,30.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEBANON                                 ,OR,973553218
cif_cust_id_13675,dda_acct_id_07775, ,0,0,,0.05,4/14/2025,2/22/2013,,,0,branch_id_13,officer_id_036,2,0,0,0,0,0,0,0,0,Commercial,0.17,7840,12143,5416,5417.06,0.01,0.67,2.88,0.67,5416,5417.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEBANON                                 ,OR,973553218
cif_cust_id_13675,dda_acct_id_07776, ,0,0,,0.05,4/17/2026,9/30/2015,,,0,branch_id_13,officer_id_036,2,0,0,0,0,0,0,0,0,Commercial,0.16,9056,4869,3773,5155.81,0.01,0.46,1.18,0.46,2905,4705.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEBANON                                 ,OR,973553218
cif_cust_id_13679,dda_acct_id_07777, ,0,0,,0.08,4/1/2026,9/22/1999,,,1,branch_id_05,officer_id_012,7,0,0,0,0,0,0,0,2,Personal,0,205,212,58,79.85,0,0,0.36,0.04,39,79.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEDFORD                                 ,OR,975045928
cif_cust_id_13680,dda_acct_id_07778, ,0,0,,0,3/23/2026,5/12/2020,,,0,branch_id_03,officer_id_009,2,0,0,0,0,0,0,0,0,Commercial,0,2213,3920,3098,4790.86,0,0,0,0,1707,4790.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASHLAND                                 ,OR,975203655
cif_cust_id_13681,dda_acct_id_07779, ,0,0,,0,4/10/2026,7/13/2021,,,0,branch_id_10,officer_id_020,2,0,0,0,0,0,0,0,0,Commercial,0,76287,75992,103299,57045.75,0,0,0,0,63674,41827.52,0,0,0,0,0,0,0,0,0,0,0,0,34.45,0,0,0,0,0,0,0,0,0,0,0,MERLIN                                  ,OR,975320365
